Kanji,Reading,Meaning,Japanese Example,English Example
ブーツ,ブーツ,boots,冬には暖かいブーツをはく。,I wear warm boots in the winter.
風土,ふうど,"natural features, climate",その地域の風土は独特でした。,The natural features of that region were unique.
ブーム,ブーム,boom,その商品は今、大ブームだ。,That product is currently in a big boom.
フォーム,フォーム,foam; form,泡がたくさんついたフォームを作ってください。,Please make a foam with a lot of bubbles.
部下,ぶか,one's subordinate,彼は部下たちと協力してプロジェクトを進めた。,He collaborated with his subordinates to advance the project.
不可欠,ふかけつ,"indispensable, essential",その装置はこのプロジェクトに不可欠です。,That device is indispensable for this project.
ぶかぶか,ぶかぶか,"too big, baggy",このシャツは少しぶかぶかだ。,This shirt is a bit baggy.
不吉,ふきつ,"ominous, sinister, bad luck, ill omen",その家は幽霊が出ると言われていて、不吉な感じがする。,"It is said that ghosts come out of that house, giving it an ominous feeling."
不況,ふきょう,"recession, depression, slump",最近の経済状況は不況が続いている。,The current economic situation continues to be in a recession.
布巾,ふきん,dish cloth,布巾でテーブルを拭いてください。,Please wipe the table with a dish cloth.
複合,ふくごう,"composite, complex",その建物は複合施設として利用されている。,That building is used as a complex facility.
福祉,ふくし,"welfare, well-being",福祉施設でボランティア活動をしています。,I volunteer at a welfare facility.
覆面,ふくめん,"mask, veil, disguise",かぶりものマスクを使った覆面作戦を行った。,They carried out a covert operation using disguises and masks.
膨れる,ふくれる,"to swell (out), to be inflated, to bulge",怒りで彼の顔が膨れていた。,His face swelled up with anger.
不景気,ふけいき,"business recession, hard times, depression",不景気で多くの企業が倒産した。,Many companies went bankrupt due to the economic recession.
耽る,ふける,"to indulge in, to give oneself up to, to be absorbed in",彼は小説に耽って夜遅くまで読んでいた。,He indulged in the novel and read late into the night.
老ける,ふける,to age,最近彼女は急に老けたように見える。,"Lately, she suddenly looks like she aged."
富豪,ふごう,"wealthy person, millionaire",その地域の富豪の一人がチャリティー活動を行なっている。,One of the wealthy individuals in the region is engaging in charity work.
布告,ふこく,"edict, ordinance, proclamation",国王が重要な布告を行いました。,The king issued an important proclamation.
ブザー,ブザー,buzzer,非常時にはブザーを鳴らしてください。,Please sound the buzzer in case of emergency.
負債,ふさい,"debt, liabilities",その企業は多額の負債を抱えている。,The company is burdened with a large amount of debt.
不在,ふざい,absence,彼は仕事中に不在になることが多い。,He is often absent during work.
ふさわしい,ふさわしい,appropriate,その服装はその場にふさわしかった。,The attire was appropriate for the occasion.
不順,ふじゅん,"irregularity, unseasonableness",今年の天候は不順だ。,The weather this year is irregular.
負傷,ふしょう,"injury, wound",事故で負傷したが、幸いなことに命に別状はなかった。,"I was injured in the accident, but luckily, there were no life-threatening injuries."
侮辱,ぶじょく,"insult, contempt, slight",そんな侮辱的な言葉を使わないでください。,Please don't use insulting words like that.
不審,ふしん,"suspicious, doubt, infidelity",その男性の態度は不審だ。,That man's attitude is suspicious.
不振,ふしん,"dullness, slump, stagnation",最近、市場は不振な状況が続いている。,"Lately, the market has been in a slump."
武装,ぶそう,"arms, armament, armed",その国は武装を強化している。,That country is strengthening its arms.
札,ふだ,"token, label; ticket, card; charm, talisman",切符を買う時には札を出した。,I handed over the money when buying the ticket.
負担,ふたん,burden; load,そのプロジェクトは多くの負担を要する。,That project requires a heavy burden.
不調,ふちょう,"bad condition, disorder, slump",彼の体調は最近、不調だ。,His health condition has been bad lately.
復活,ふっかつ,"revival (e.g., musical), restoration",映画スターが復活した。,The movie star made a comeback.
物議,ぶつぎ,public discussion (criticism),その決定は物議をかもした。,The decision sparked public discussion.
復旧,ふっきゅう,"restoration, restitution, rehabilitation",被害を受けた地域は復旧を進めている。,The affected area is making progress in restoration.
復興,ふっこう,"revival, renaissance, reconstruction",戦後、その国は復興を遂げた。,The country achieved reconstruction after the war.
物資,ぶっし,"goods, materials",災害地域に物資を届ける。,Deliver goods to the disaster area.
仏像,ぶつぞう,Buddhist image (statue),その寺院には美しい仏像がある。,There are beautiful Buddhist statues in that temple.
物体,ぶったい,object,物体は重力に従って落下する。,Objects fall due to gravity.
沸騰,ふっとう,"boiling, seething",湯が沸騰している。,The water is boiling.
不当,ふとう,"injustice, impropriety, unfair",その判断は不当だと言われた。,The decision was deemed unfair.
不動産,ふどうさん,real estate,不動産業界で働く。,Work in the real estate industry.
無難,ぶなん,"safety, security",無難な選択をした。,Made a safe choice.
赴任,ふにん,(proceeding to) new appointment,新たな赴任先に向かう。,Head to the new place of assignment.
腐敗,ふはい,"decay, depravity",腐敗した食品を捨てる。,Dispose of decayed food.
不評,ふひょう,"bad reputation, disgrace, unpopularity",彼の提案は不評だった。,His proposal was unpopular.
不服,ふふく,"dissatisfaction, discontent, disapproval",サービスに不服を感じた。,Was dissatisfied with the service.
普遍,ふへん,"universality, ubiquity, omnipresence",人間の欲求は普遍的です。,Human desires are universal.
踏まえる,ふまえる,"to be based on, to have origin in",経験を踏まえて考える。,Consider based on experience.
踏み込む,ふみこむ,"to step into (someone else's territory, to break into, to raid",新市場に踏み込む。,Step into a new market.
不明,ふめい,"unknown, ambiguous",原因が不明だ。,The cause is unknown.
部門,ぶもん,"class, group, category, department, field, branch",企業は部門ごとに構成されている。,Companies are structured by department.
扶養,ふよう,"support, maintenance",家族を扶養する。,Support the family.
ふらふら,ふらふら,"unsteady on one's feet, totter, dizzy",疲れてふらふらしている。,Feeling tired and unsteady.
ぶらぶら,ぶらぶら,"dangle heavily, sway to and fro, stroll idly",休日にぶらぶらするのが好きだ。,I like to take leisurely strolls on holidays.
振り返る,ふりかえる,"to turn head, to turn around, to look back",過去を振り返る。,Look back on the past.
振り出し,ふりだし,"outset, starting point, drawing or issuing (draft)",計画の振り出しから再考する。,Reconsider from the start of the plan.
不良,ふりょう,"badness, delinquent, failure",品質が不良だとクレームが入った。,Complaints were made due to poor quality.
浮力,ふりょく,buoyancy,浮力を利用して船が浮く。,The ship floats using buoyancy.
武力,ぶりょく,"armed might, military power, the sword, force",武力行使は問題である。,The use of force is a problem.
ブル,ブル,bull,フェンスにブルがいる。,There is a bull in the fence.
震わせる,ふるわせる,"to be shaking, to be trembling",怒りで声が震わせる。,My voice trembles with anger.
無礼,ぶれい,"impolite, rude",会議で無礼な発言をした。,Made impolite remarks at the meeting.
付録,ふろく,"appendix, supplement",本の付録が役に立つ。,The appendix of the book is useful.
フロント,フロント,front,ホテルのフロントで予約を確認した。,Confirmed the reservation at the hotel's front desk.
憤慨,ふんがい,"indignation, resentment",その決定に憤慨する。,Feel indignation towards that decision.
文化財,ぶんかざい,"cultural assets, cultural property",この寺院は重要な文化財です。,This temple is an important cultural asset.
分業,ぶんぎょう,"division of labor, specialization, assembly-line production",現代の産業社会では分業が進んでいます。,Division of labor has advanced in today's industrial society.
文語,ぶんご,"written language, literary language",古典文学は文語で書かれています。,Classical literature is written in literary language.
分散,ぶんさん,"dispersion, decentralization, variance (statistics)",データの分散により情報が保護されます。,Information is protected by data decentralization.
分子,ぶんし,"numerator, molecule",化学の授業で分子の構造を学びます。,"In chemistry class, we learn about the structure of molecules."
紛失,ふんしつ,losing something,財布を紛失してしまいました。,I have lost my wallet.
噴出,ふんしゅつ,"spewing, gushing, spouting",火山から溶岩が噴出する。,Lava erupts from the volcano.
文書,ぶんしょ,"document, writing",契約書を作成するため、文書を準備した。,I prepared documents to create a contract.
紛争,ふんそう,"dispute, trouble, strife",国境紛争が続いている。,The border dispute continues.
ふんだん,ふんだん,"plentiful, abundant, lavish",彼はふんだんな資源を持っています。,He has abundant resources.
分担,ぶんたん,"apportionment, sharing",チームで仕事を分担する。,We divide the work among team members.
奮闘,ふんとう,"hard struggle, strenuous effort",若者たちは前進して奮闘しています。,The young people are struggling and making progress.
分配,ぶんぱい,"division, sharing",給料を公平に分配する。,Distribute the salary fairly.
分母,ぶんぼ,denominator,分数の計算で分母を見比べる。,Compare the denominators in fraction calculations.
粉末,ふんまつ,fine powder,料理に粉末スパイスを使う。,Use powdered spices in cooking.
分離,ぶんり,"separation, detachment, segregation",分離手術が成功しました。,The separation surgery was successful.
分裂,ぶんれつ,"split, division, break up",国家の内部で分裂が発生した。,There was a split within the country.
ペア,ペア,"pair, pear",ダンス大会で素晴らしいペアが勝ちました。,The dance competition was won by a great pair.
兵器,へいき,"arms, weapons, ordinance",軍事力を持った兵器が展示されている。,Weapons with military power are on display.
閉口,へいこう,shut mouth,怒りで閉口したままだ。,He remained silent out of anger.
閉鎖,へいさ,"closing, closure, shutdown",病院は感染拡大のため閉鎖された。,The hospital was closed due to infection spread.
兵士,へいし,soldier,兵士たちは任務に身を捧げている。,The soldiers are dedicated to their missions.
平常,へいじょう,"normal, usual",彼は平常の様子を取り戻した。,He returned to his usual state.
平方,へいほう,"square (e.g., meter, square)",地図のスケールは平方メートルです。,The scale on the map is in square meters.
並列,へいれつ,"arrangement, parallel, abreast",二本の線は完全に並列である。,The two lines are perfectly parallel.
ベース,ベース,"base, bass",音楽のベースが心地よい。,The music bass is pleasant.
辟易,へきえき,"wince, shrink back, succumbing to, being frightened",失敗により彼は辟易とした。,He was disheartened by the failure.
ぺこぺこ,ぺこぺこ,"fawn, be very hungry",おなかがぺこぺこだ。,I'm very hungry.
ベスト,ベスト,best; vest,そのチームはベストを尽くした。,The team did their best.
ベストセラー,ベストセラー,best-seller,新しい小説がベストセラーとなった。,The new novel became a best-seller.
隔たる,へだたる,to be distant,彼とは思想が隔たっている。,There is a difference in ideology between him and me.
縁,へり,edge,その岩の縁に腰を掛けた。,I sat on the edge of the rock.
へりくだる,へりくだる,to deprecate oneself and praise the listener,自己をへりくだる態度は大切です。,A humble attitude towards oneself is important.
弁解,べんかい,"explanation, justification, excuse",彼は遅刻の理由を弁解した。,He explained the reason for being late.
変革,へんかく,"change, reform(the) Reformation",新たな変革が組織に必要だ。,A new reform is needed in the organization.
返還,へんかん,"return, restoration",盗まれた美術品が返還された。,The stolen artwork was returned.
便宜,べんぎ,"convenience, accommodation",ゲストの便宜を図る。,Provide convenience to the guests.
偏見,へんけん,"prejudice, narrow view",偏見を捨てて理解を深めましょう。,Let's deepen our understanding by discarding prejudice.
弁護,べんご,"defense, pleading, advocacy",彼の弁護をするために弁護士を雇った。,We hired a lawyer to defend him.
返済,へんさい,repayment,ローンの返済を保証する。,Guarantee the repayment of the loan.
弁償,べんしょう,"compensation, reparation, reimbursement",彼は被害を弁償することに同意した。,He agreed to compensate for the damage.
変遷,へんせん,"change, transition, vicissitudes",その都市は長い間変遷を続けてきた。,The city has undergone many changes over the years.
返答,へんとう,reply,彼は速やかに返答した。,He promptly replied.
変動,へんどう,"change, fluctuation",市場は常に変動しています。,The market is always fluctuating.
弁論,べんろん,"discussion, debate, argument",弁論大会で彼は熱弁を振るった。,He delivered a passionate speech in the debate tournament.
穂,ほ,"ear (of plant), head (of plant)",稲穂が風に揺れている。,The rice ears are swaying in the wind.
保育,ほいく,"nursing, nurturing, rearing",保育士は子供たちに愛情を注ぐ。,Childcare workers shower children with love.
ボイコット,ボイコット,boycott,彼女たちはその企業をボイコットすることを決めた。,They decided to boycott the company.
ポイント,ポイント,point,その計画の重要なポイントを見逃してはいけない。,Don't overlook the crucial points of the plan.
法案,ほうあん,bill (law),国会は新しい法案を可決した。,The parliament approved a new bill.
防衛,ぼうえい,"defense, protection, self-defense",防衛省は国の安全を守る役割を果たしている。,The Ministry of Defense plays a role in protecting the nation's security.
防火,ぼうか,"fire prevention, fire fighting, fire proof",防火設備が万全である。,The fire prevention facilities are in perfect condition.
崩壊,ほうかい,"collapse, decay (physics), crumbling",古い建物が崩壊した。,The old building collapsed.
妨害,ぼうがい,"disturbance, obstruction, interference",妨害を受けずにプロジェクトを進めることが重要だ。,It is crucial to proceed with the project without obstruction.
法学,ほうがく,"law, jurisprudence",彼は法学部の学生です。,He is a law school student.
封建,ほうけん,feudalistic,封建制度は古代の社会に広く見られた。,Feudalism was widely prevalent in ancient societies.
豊作,ほうさく,"abundant harvest, bumper crop",今年は豊作の年だ。,This year is a year of abundant harvest.
方策,ほうさく,"plan, policy",問題解決のための新しい方策を提案した。,He proposed a new strategy for problem-solving.
奉仕,ほうし,"attendance, service",地域の奉仕活動に参加しています。,I am participating in community service activities.
方式,ほうしき,"form, method, system",その手続きは簡単な方式で行われる。,The procedure is carried out in a simple manner.
放射,ほうしゃ,"radiation, emission",原子力発電所からの放射を受けています。,We are exposed to radiation from nuclear power plants.
放射能,ほうしゃのう,radioactivity,放射能の影響は計り知れない。,The effects of radiation cannot be underestimated.
報酬,ほうしゅう,"remuneration, recompense, reward",彼はその仕事への報酬を受け取った。,He received a reward for his work.
放出,ほうしゅつ,"release, emit",有害物質が排気ガスとして放出された。,Harmful substances were emitted as exhaust gases.
報じる,ほうじる,"to inform, to report",その事件は新聞で報じられた。,The incident was reported in the newspaper.
報ずる,ほうずる,"to inform, to report",重要な情報を早急に報ずるべきだ。,Important information should be reported promptly.
紡績,ぼうせき,spinning,糸を紡績する機械が動いている。,The machine for spinning thread is running.
呆然,ぼうぜん,"dumbfounded, overcome with surprise",その質問に対して、彼女は呆然とした。,She was dumbfounded by the question.
放置,ほうち,"leave as is, leave alone, neglect",問題を放置しておいてはいけない。,We must not neglect the problem.
膨張,ぼうちょう,"expansion, swelling, increase",気泡が発生してゴムが膨張した。,The rubber expanded as air bubbles formed.
法廷,ほうてい,courtroom,彼は法廷で無実を証明した。,He proved his innocence in the courtroom.
報道,ほうどう,"coverage, report",報道機関は事件を報じるために現場に急行した。,The media rushed to the scene to report on the incident.
冒頭,ぼうとう,"beginning, start, outset",冒頭に自己紹介を行う。,Introduce yourself at the beginning.
暴動,ぼうどう,"insurrection, riot, uprising",暴動が街を襲った。,A riot hit the city.
褒美,ほうび,"reward, prize",試合に勝った彼に褒美を与えよう。,Let's give him a reward for winning the game.
暴風,ぼうふう,"storm, windstorm, gale",暴風が建物を揺らした。,The storm shook the building.
葬る,ほうむる,"to bury, to entomb",彼の死を悲しみ、彼を葬りしめた。,"Mourning his death, they buried him."
放り込む,ほうりこむ,to throw into,ゴミを放り込むのは禁止されています。,Throwing trash in is prohibited.
放り出す,ほうりだす,"to throw out, to give up, to abandon",彼は仕事を放り出して逃げ出した。,He abandoned his work and ran away.
暴力,ぼうりょく,violence,暴力は解決の手段としては望ましくない。,Violence is not a desirable means of conflict resolution.
飽和,ほうわ,saturation,この溶液は完全に飽和しています。,This solution is completely saturated.
ホース,ホース,hose,庭のホースが壊れたので修理する必要があります。,The hose in the garden is broken and needs to be repaired.
ポーズ,ポーズ,pause,ダンサーは踊りの途中で一時ポーズを取った。,The dancer paused in the middle of the dance.
ホール,ホール,hall; hole,大きなホールでコンサートが行われました。,The concert took place in a large hall.
保温,ほおん,"retaining warmth, keeping heat in, heat insulation",このジャケットは保温効果が高い。,This jacket has good heat insulation.
捕獲,ほかく,"capture, seizure",猟師は獲物を捕獲するために罠を仕掛けた。,The hunter set traps to capture prey.
保管,ほかん,"custody, safekeeping, storage",貴重品は安全な場所に保管してください。,Please store valuable items in a safe place.
補給,ほきゅう,"supply, supplying, replenishment",燃料補給を忘れないようにしなければならない。,We must remember not to forget refueling.
補強,ほきょう,reinforcement,壁は地震に備えて補強されています。,The wall has been reinforced for earthquake safety.
募金,ぼきん,"fund-raising, collection of funds",地元の団体が募金活動を行っています。,The local organization is conducting a fundraising campaign.
牧師,ぼくし,"pastor, minister, clergyman",教会の牧師が祈りを捧げた。,The pastor of the church offered a prayer.
捕鯨,ほげい,whaling,多くの国では捕鯨が問題となっています。,Whaling has become a controversial issue in many countries.
惚ける,ぼける,"to grow senile, to fade",年を取っても惚けないように注意しなければならない。,We must be careful not to grow senile as we age.
保険,ほけん,"insurance, guarantee",車を運転するときは必ず保険に入ってください。,Be sure to have insurance when driving a car.
母校,ぼこう,alma mater,卒業生は母校の再会会に参加した。,The graduate attended the alumni reunion at their alma mater.
母国,ぼこく,one's home country (same as 自分の国 (じぶんのくに)),母国を誇りに思います。,I am proud of my home country.
誇る,ほこる,"to boast of, to be proud of",彼は自分の成し遂げたことを誇っている。,He boasts of his accomplishments.
綻びる,ほころびる,"to come apart at the seams, to smile broadly",彼の笑顔が綻びて、素敵だと感じた。,I felt his smile broadened and it was beautiful.
干し～,ほし～,dried ~,干し柿は美味しい。,Dried persimmons are delicious.
ポジション,ポジション,position,彼はチームで重要なポジションを持っている。,He holds an important position in the team.
干し物,ほしもの,dried washing (clothes,外に干し物をするのが好きです。,I enjoy hanging out laundry outside.
保守,ほしゅ,"conservative, maintaining",彼は伝統的で保守的な考え方を持っている。,He has a traditional and conservative way of thinking.
補充,ほじゅう,"supplementation, replenishment, replenishing",貯蔵庫には必要な製品を補充する必要がある。,The warehouse needs to replenish the required products.
補助,ほじょ,"assistance, support, auxiliary",新入社員に彼が補助することになった。,He was assigned to assist the new employees.
舗装,ほそう,"pavement, road surface",この道路は最近舗装されました。,This road was recently paved.
補足,ほそく,"supplement, complement",資料に必要な情報を補足してください。,Please supplement the necessary information for the document.
墓地,ぼち,"cemetery, graveyard",彼の父はこの墓地に埋葬されている。,His father is buried in this cemetery.
発作,ほっさ,"fit, attack",彼女は突然発作を起こした。,She suddenly had a fit.
没収,ぼっしゅう,forfeited,違法な商品は没収されることになっています。,Illegal goods are subject to seizure.
発足,ほっそく,"starting, inauguration",政府の新しい政策が発足された。,The government's new policy has been inaugurated.
ポット,ポット,pot,テーブルにコーヒーポットが置かれています。,There is a coffee pot on the table.
ほっぺた,ほっぺた,cheek,ほっぺたをつねってみてください。,Pinch your cheeks and see.
ぼつぼつ,ぼつぼつ,"gradually, here and there, spots",太陽が沈む間ぼつぼつ光る星が現れた。,Stars began to appear here and there as the sun set.
没落,ぼつらく,"ruin, fall, collapse",彼の会社は没落してしまった。,His company collapsed.
解ける,ほどける,"to come untied, to come apart",くつのひもが解けました。,My shoelaces came untied.
施す,ほどこす,"to give, to conduct, to perform",善行を施すことが大切です。,It is important to perform acts of kindness.
ほとり,ほとり,vicinity of lake; river,川のほとりでピクニックをしました。,We had a picnic by the river.
ぼやく,ぼやく,"to grumble, to complain",彼はいつも人生に不満をぼやいている。,He always grumbles about life.
ぼやける,ぼやける,"to become dim, to become blurred",視力が低くて物がぼやけて見えます。,"With poor eyesight, things appear blurred."
保養,ほよう,"health preservation, recuperation, recreation",仕事から離れて保養する時間を取ることは重要です。,Taking time off work to recuperate is important.
捕虜,ほりょ,prisoner of war,捕虜は敵国により拘束された兵士を指す。,Prisoners of war refer to soldiers captured by enemy countries.
ボルト,ボルト,volt; bolt,工場でボルトを使って車を組み立てています。,We are assembling a car in the factory using bolts.
滅びる,ほろびる,"to be ruined, to perish, to be destroyed",過ちを認めずには滅びることができない。,One cannot avoid ruin without acknowledging their mistakes.
滅ぼす,ほろぼす,"to destroy, to overthrow, to ruin",破壊力のある武器で敵国を滅ぼす。,Destroy the enemy country with powerful weapons.
本格,ほんかく,"propriety, full-scale",日本料理の本格的な味を楽しみたい。,I want to enjoy the authentic taste of Japanese cuisine.
本館,ほんかん,main building,美術館の本館には貴重な絵画が展示されている。,The main building of the art museum displays valuable paintings.
本気,ほんき,"seriousness, truth, sanctity",仕事に対して本気で取り組むことが大切だ。,It is important to approach work with seriousness.
本国,ほんごく,one's own country,本国の文化を外国に紹介する。,Introduce the culture of one's own country to foreign countries.
本質,ほんしつ,"essence, true nature, reality",問題の本質を見極めることが重要だ。,It is important to identify the essence of the problem.
本体,ほんたい,"substance, body, trunk",製品の本体だけでなく、付属品も確認してください。,Please check not only the main body of the product but also the accessories.
本音,ほんね,"(one's) real intention, motive",本音で話し合うことが信頼関係を築く第一歩だ。,Speaking one's true intentions is the first step to building trust.
本能,ほんのう,instinct,動物は本能的に生きる。,Animals live instinctively.
本場,ほんば,"home, best place, genuine",本場の味を楽しむ。,Enjoy the authentic taste of the place.
ポンプ,ポンプ,pump,水を汲むためにポンプを使う。,Use a pump to draw water.
本文,ほんぶん,"text (of document), body (of letter)",書類の本文をよく読んでからサインしてください。,Please read the text of the document carefully before signing.
本名,ほんみょう,real name,アーティストは本名とは異なるペンネームを使っている。,The artist uses a pen name different from their real name.
マーク,マーク,mark,テストの間違いをマークする。,Mark the mistakes in the test.
マイ～,マイ～,"my ~, one's own ~",マイカーで通勤しています。,I commute to work in my own car.
マイクロフォン,マイクロフォン,microphone,演説のためにマイクロフォンをセットアップする。,Set up a microphone for the speech.
埋蔵,まいぞう,"buried property, treasure trove",遺跡から金の埋蔵が発見された。,A treasure trove of gold was discovered in the ruins.
舞う,まう,"to dance, to flutter about, to revolve",花びらが風に舞う。,The flower petals dance in the wind.
真上,まうえ,"just above, right overhead",観覧車から真上を見上げる。,Look directly above from the Ferris wheel.
前売,まえうり,"advance sale, booking",映画の前売り券が売り切れた。,The advance tickets for the movie are sold out.
前置き,まえおき,"preface, introduction",物語には前置きが大切だ。,An introduction is important in a story.
任す,まかす,"to entrust, to leave to a person",信頼できる友人に会議の進行を任す。,Entrust the progress of the meeting to a trustworthy friend.
負かす,まかす,to defeat,相手を素早く負かすことができる。,You can quickly defeat the opponent.
賄う,まかなう,"to give board to, to provide meals, to pay",外国からの客を賄う。,Provide meals for guests from overseas.
紛らわしい,まぎらわしい,"confusing, misleading, ambiguous",紛らわしい表示に注意しなければならない。,One must be wary of confusing signs.
紛れる,まぎれる,"to be diverted, to slip into",犯人は人ごみに紛れて逃げた。,The criminal escaped by blending into the crowd.
真心,まごころ,"sincerity, devotion",真心のこもった手紙をもらった。,I received a heartfelt letter.
まごつく,まごつく,"to be confused, to be flustered",緊張してまごついてしまった。,I got flustered and made a mistake due to nervousness.
誠,まこと,"truth, faith, fidelity",人としての誠を持ちたい。,I want to have sincerity as a person.
誠に,まことに,"indeed, really (very polite), absolutely",誠にありがとうございます。,Thank you very much.
まさしく,まさしく,"surely, no doubt, evidently",まさしく、これが私の求めていたものだ。,"Indeed, this is exactly what I was looking for."
勝る,まさる,"to excel, to surpass, to out-rival",仲間内で勝るべき人を選ぶ。,Select the most outstanding person among friends.
～増し,～まし,~increase,友情が1副えた増し強くなった。,Friendship has become even stronger.
交える,まじえる,"to mix, to converse with, to cross (swords)",意見を交えてディスカッションを行う。,Have a discussion where opinions are exchanged.
真下,ました,"right under, directly below",真下から見上げると高さがより感じられる。,You can feel the height more when looking up from directly below.
まして,まして,"still more, still less (with neg. verb), to say nothing of",忙しいときにはましてその要求は難しい。,The request is difficult even in busier times.
交わる,まじわる,"to cross, to intersect, to mingle with,",運命的に交わる二人の道。,The fateful crossing of two paths.
麻酔,ますい,anesthesia,手術中は麻酔をかけている。,Anesthesia is given during surgery.
またがる (うまを～),またがる (うまを～),to straddle,None,None
待ち合わせ,まちあわせ,appointment,友達と待ち合わせをしてカフェで会いました。,I had an appointment to meet my friend at the cafe.
待ち遠しい,まちどおしい,looking forward to,旅行が待ち遠しいです。,I am looking forward to the trip.
待ち望む,まちのぞむ,"to look anxiously for, to wait eagerly for",彼の帰りを待ち望んでいます。,I am eagerly waiting for his return.
まちまち,まちまち,"various, different",意見がまちまちです。,Opinions are different.
末期,まっき,"deathbed, hour of death",祖母は病気の末期にいます。,My grandmother is in the final stages of illness.
真っ二つ,まっぷたつ,in two equal parts,紙が真っ二つに裂けた。,The paper tore in two equal parts.
まと,まと,"mark, target",まとを的に設定して狙う。,Aim at the target with the mark.
纏まり,まとまり,"conclusion, settlement, consistency",意見の纏まりがつかない。,There is no conclusion to the opinions.
纏め,まとめ,"settlement, conclusion",会議の纏めをまとめる。,Summarize the conclusion of the meeting.
免れる,まぬがれる,"to escape from, to be exempted",彼は事故から免れた。,He escaped from the accident.
招き,まねき,invitation,彼女は笑顔で招き入れた。,She welcomed with a smile.
瞬き,まばたき,"wink, twinkling (of stars), flicker (of light)",星が瞬き始めた。,The stars began to twinkle.
麻痺,まひ,"paralysis, palsy, numbness",脚の麻痺で歩けない。,Unable to walk due to leg paralysis.
～まみれ,～まみれ,"covered with (by, in) ~",泥まみれになって帰ってきた。,Came back covered in mud.
眉,まゆ,eyebrow,眉毛を整える。,Tidy up the eyebrows.
鞠,まり,ball,子供たちが鞠を蹴る。,The children kick the ball.
丸ごと,まるごと,"in its entirety, whole, wholly",メロンを丸ごと食べる。,Eat the whole melon.
まるっきり,まるっきり,"completely, perfectly, just as if",それはまるっきり違う。,That is completely different.
丸々,まるまる,completely,嘘を丸々飲ませる。,Make them believe a complete lie.
丸める,まるめる,"to make round, to round off, to roll up",紙を丸めて捨てる。,Crumple the paper and throw it away.
満月,まんげつ,full moon,満月が美しい。,The full moon is beautiful.
満場,まんじょう,"unanimous, whole audience",満場の拍手を浴びる。,Receive applause from the whole audience.
真ん前,まんまえ,"right in front, under the nose",真ん前に立っていても気づかなかった。,Didn't notice even though you were right in front.
真ん丸い,まんまるい,perfectly circular,お月見の団子は真ん丸い。,The dumplings for moon viewing are perfectly round.
真ん円い,まんまるい,perfectly round,子犬の目は真ん円い。,The puppy's eyes are perfectly round.
～味,～み,~ cast (sense of taste),辛味が効いているラーメン。,Ramen with a spicy taste.
見合い,みあい,formal marriage interview,今日は友達の見合いに参加する。,I will attend my friend's arranged marriage meeting today.
見合わせる,みあわせる,to exchange glances; to postpone,話をするのを見合わせてください。,Please postpone the conversation.
見落とす,みおとす,"to overlook, to fail to notice",重要なポイントを見落とした。,Overlooked an important point.
未開,みかい,"savage land, backward region, uncivilized",そのエリアは未開の地だ。,That area is an uncivilized land.
味覚,みかく,"taste, palate, sense of taste",味覚が敏感な人。,A person with a sensitive sense of taste.
幹,みき,(tree) trunk,木の幹を触る。,Touch the trunk of the tree.
見苦しい,みぐるしい,"unsightly, ugly",その光景は見苦しい。,That scene is unsightly.
見込み,みこみ,"prospects, expectation, hope",成功の見込みがある。,There is a prospect of success.
未婚,みこん,unmarried,彼は未婚です。,He is unmarried.
未熟,みじゅく,"inexperience, unskilled, immature",未熟な果物を食べる。,Eat immature fruits.
微塵,みじん,"particle, atom",微塵も許さない。,Don't forgive even a particle.
水気,みずけ,"moisture, dampness",料理に水気が入っている。,There is moisture in the food.
ミスプリント,ミスプリント,misprint,この本にはミスプリントがあります。,This book has a misprint.
みすぼらしい,みすぼらしい,"shabby, seedy",彼の服装はみすぼらしい。,His clothing looks shabby.
ミセス,ミセス,Mrs.,彼の奥さんはミセス・スミスです。,His wife is Mrs. Smith.
見せびらかす,みせびらかす,"to show off, to flaunt",彼女は新しい車を見せびらかす。,She flaunts her new car.
見せ物,みせもの,"show, exhibition",その美術館には素晴らしい見せ物があります。,There are wonderful exhibitions at that art museum.
溝,みぞ,"ditch, drain, gutter, gap",雨の後、道にはたくさんの溝ができた。,"After the rain, many gutters formed on the road."
満たす,みたす,"to satisfy, to ingratiate, to fill, to fulfill",彼は彼女の願いを満たした。,He fulfilled her wish.
乱す,みだす,"to throw out of order, to disarrange, to disturb",机の上を乱す。,Disarrange the items on the desk.
乱れる,みだれる,"to get confused, to be disordered, to be disturbed",計画が乱れた。,The plan got disturbed.
未知,みち,not yet known,その地域は未知のままだ。,That area remains unknown.
身近,みぢか,"near oneself, close to one, familiar",身近な友人に相談する。,Consult with a close friend.
導く,みちびく,"to be guided, to be shown",希望へと導く。,Guide towards hope.
密集,みっしゅう,"crowd, close formation, dense",コンサート会場は密集していた。,The concert venue was crowded.
密接,みっせつ,"connected, close, intimate",家族との密接な関係。,Close relationship with family.
密度,みつど,density,水の密度は1g/cm³である。,The density of water is 1g/cm³.
見積もり,みつもり,"estimation, quotation",リフォームの見積もりを取る。,Get an estimation for the renovation.
未定,みてい,"not yet fixed, undecided, pending",出発時刻は未定です。,The departure time is undecided.
見通し,みとおし,"perspective, unobstructed view, prospect",プロジェクトの見通しを立てる。,Draw up a project perspective.
見なす,みなす,"to consider as, to regard",彼をリーダーとして見なす。,Regard him as a leader.
